,Accuracy,Image,Set,Experiment
260,1.0,10894,val,3
261,0.8925619834710744,10900,val,3
262,0.9392712550607287,10905,val,3
263,1.0,10906,val,3
264,0.904320987654321,10916,val,3
265,0.8870967741935484,10943,val,3
266,0.6238244514106583,10945,val,3
267,0.8209876543209876,10948,val,3
268,0.7715231788079471,10960,val,3
269,1.0,10963,val,3
270,0.9845679012345679,10965,val,3
271,0.8765432098765432,10968,val,3
272,0.9595015576323987,10973,val,3
273,0.9962121212121212,10976,val,3
274,0.9964285714285714,10980,val,3
275,0.5375,10993,val,3
276,0.9768339768339769,11003,val,3
277,0.9919354838709677,11004,val,3
278,0.9190031152647975,11014,val,3
279,0.9876543209876543,11018,val,3
280,0.416403785488959,11026,val,3
281,0.9483870967741935,11028,val,3
282,0.932806324110672,11034,val,3
283,1.0,11037,val,3
284,1.0,11039,val,3
285,0.9382716049382716,11049,val,3
286,0.9453125,11050,val,3
287,0.9323308270676691,11053,val,3
288,0.9039145907473309,11056,val,3
289,0.9845679012345679,11059,val,3
290,0.9845679012345679,11070,val,3
291,0.8950617283950617,11089,val,3
292,0.9928825622775801,11093,val,3
293,1.0,11094,val,3
294,0.6875,11101,val,3
295,0.8622047244094488,11113,val,3
296,0.8434504792332268,11115,val,3
297,0.8417508417508418,11119,val,3
298,0.9444444444444444,11126,val,3
299,1.0,11127,val,3
300,0.996309963099631,11129,val,3
301,0.9528985507246377,11133,val,3
302,0.9833887043189369,11137,val,3
303,0.7829457364341085,11145,val,3
304,0.9855595667870036,11146,val,3
305,1.0,11149,val,3
306,0.8689655172413793,11155,val,3
307,0.9814126394052045,11156,val,3
308,1.0,11158,val,3
309,0.7623456790123457,11159,val,3
310,0.9444444444444444,11165,val,3
311,0.9504643962848297,11166,val,3
312,0.9925925925925926,11169,val,3
313,0.9845201238390093,11178,val,3
314,0.5821428571428572,11185,val,3
315,1.0,11186,val,3
316,1.0,11189,val,3
317,0.6371308016877637,11191,val,3
318,1.0,11209,val,3
319,0.9567901234567902,11213,val,3
320,0.5573770491803278,11216,val,3
321,0.6141975308641975,11219,val,3
322,0.9424920127795527,11220,val,3
323,1.0,11240,val,3
324,0.9867109634551495,11242,val,3
325,1.0,11249,val,3
326,0.6360294117647058,11250,val,3
327,0.8553459119496856,11254,val,3
328,0.8851851851851852,11257,val,3
329,1.0,11259,val,3
330,0.9931506849315068,11260,val,3
331,0.9074074074074074,11268,val,3
332,1.0,11269,val,3
333,0.7592592592592593,11274,val,3
334,0.8518518518518519,11276,val,3
335,0.93125,11277,val,3
