,Accuracy,Image,Set,Experiment
500,1.0,3311,val,4
501,1.0,3319,val,4
502,1.0,3323,val,4
503,1.0,3329,val,4
504,1.0,3333,val,4
505,1.0,3334,val,4
506,0.84,3339,val,4
507,1.0,3342,val,4
508,1.0,3348,val,4
509,1.0,3360,val,4
510,1.0,3363,val,4
511,1.0,3364,val,4
512,1.0,3370,val,4
513,1.0,3389,val,4
514,1.0,3392,val,4
515,0.68,3393,val,4
516,1.0,3398,val,4
517,1.0,3413,val,4
518,1.0,3418,val,4
519,1.0,3428,val,4
520,1.0,3429,val,4
521,1.0,3442,val,4
522,1.0,3445,val,4
523,1.0,3446,val,4
524,1.0,3456,val,4
525,1.0,3459,val,4
526,1.0,3461,val,4
527,1.0,3467,val,4
528,1.0,3489,val,4
529,1.0,3494,val,4
530,1.0,3499,val,4
531,1.0,3507,val,4
532,0.88,3509,val,4
533,1.0,3517,val,4
534,0.92,3521,val,4
535,1.0,3528,val,4
536,1.0,3539,val,4
537,1.0,3543,val,4
538,1.0,3545,val,4
539,1.0,3547,val,4
540,1.0,3559,val,4
541,1.0,3562,val,4
542,1.0,3573,val,4
543,1.0,3590,val,4
544,1.0,3591,val,4
545,1.0,3593,val,4
546,1.0,3595,val,4
547,1.0,3600,val,4
548,1.0,3617,val,4
549,1.0,3621,val,4
550,1.0,3633,val,4
551,1.0,3636,val,4
552,1.0,3637,val,4
553,1.0,3638,val,4
554,1.0,3648,val,4
555,1.0,3651,val,4
556,1.0,3656,val,4
557,1.0,3674,val,4
558,1.0,3675,val,4
559,1.0,3681,val,4
560,1.0,3699,val,4
561,1.0,3713,val,4
562,0.92,3716,val,4
563,1.0,3718,val,4
564,1.0,3722,val,4
565,1.0,3727,val,4
566,1.0,3731,val,4
567,1.0,3732,val,4
568,1.0,3739,val,4
569,0.92,3750,val,4
570,1.0,3751,val,4
571,1.0,3763,val,4
572,1.0,3767,val,4
573,1.0,3774,val,4
574,1.0,3776,val,4
575,1.0,3785,val,4
576,1.0,3789,val,4
577,1.0,3799,val,4
578,1.0,3807,val,4
579,1.0,3811,val,4
580,1.0,3823,val,4
